iter	Passed	Remaining
469	716	807
470	717	805
471	718	803
472	719	801
473	720	799
474	721	797
475	722	795
476	723	793
477	725	791
478	726	789
479	727	787
480	728	785
481	729	783
482	730	781
483	731	780
484	732	778
485	733	776
486	734	774
487	736	772
488	737	770
489	738	768
490	739	766
491	740	764
492	741	762
493	742	760
494	744	759
495	745	757
496	746	755
497	747	753
498	748	751
499	749	749
500	750	747
501	751	745
502	753	744
503	754	742
504	755	740
505	756	738
506	757	736
507	758	734
508	759	732
509	760	731
510	762	729
511	763	727
512	764	725
513	765	723
514	766	721
515	767	720
516	768	718
517	769	716
518	771	714
519	772	712
520	773	710
521	774	709
522	775	707
523	776	705
524	777	703
525	778	701
526	779	700
527	781	698
528	782	696
529	783	694
530	784	693
531	785	691
532	786	689
533	788	687
534	789	685
535	790	684
536	791	682
537	792	680
538	793	678
539	794	677
540	796	675
541	797	673
542	798	672
543	799	670
544	801	668
545	802	666
546	803	665
547	804	663
548	805	661
549	806	660
550	807	658
551	809	656
552	810	655
553	811	653
554	812	651
555	813	649
556	814	648
557	815	646
558	817	644
559	818	642
560	819	641
561	820	639
562	821	637
563	822	635
564	823	634
565	825	632
566	826	630
567	827	629
568	828	627
569	829	625
570	830	624
571	831	622
572	832	620
573	833	618
574	834	617
575	836	615
576	837	613
577	838	612
578	839	610
579	840	608
580	841	607
581	842	605
582	844	603
583	845	602
584	846	600
585	847	598
586	848	597
587	849	595
588	850	593
589	852	592
590	853	590
591	854	589
592	855	587
593	857	585
594	858	584
595	859	582
596	860	580
597	861	579
598	862	577
599	863	575
600	865	574
601	866	572
602	867	571
603	868	569
604	869	567
605	870	566
606	872	564
607	873	562
608	874	561
609	875	559
610	876	558
611	877	556
612	878	554
613	879	553
614	881	551
615	882	549
616	883	548
617	884	546
618	885	545
619	886	543
620	887	541
621	888	540
622	890	538
623	891	536
624	892	535
625	893	533
626	894	532
627	895	530
628	896	528
629	897	527
630	899	525
631	900	524
632	901	522
633	902	520
634	903	519
635	904	517
636	905	516
637	906	514
638	908	513
639	909	511
640	910	509
641	911	508
642	912	506
643	913	505
644	914	503
645	915	501
646	917	500
647	918	498
648	919	497
649	920	495
650	921	494
651	922	492
652	924	491
653	925	489
654	926	487
655	927	486
656	928	484
657	929	483
658	930	481
659	931	479
660	932	478
661	933	476
662	935	475
663	936	473
664	937	472
665	938	470
666	939	469
667	940	467
668	941	465
669	942	464
670	943	462
671	945	461
672	946	459
673	947	458
674	948	456
675	949	455
676	950	453
677	952	452
678	953	450
679	954	449
680	955	447
681	956	445
682	957	444
683	958	442
684	959	441
685	960	439
686	961	438
687	963	436
688	964	435
689	965	433
690	966	432
691	967	430
692	968	429
693	970	427
694	971	426
695	972	424
696	973	423
697	974	421
698	975	420
699	976	418
700	978	417
701	979	415
702	980	414
703	981	412
704	982	411
705	983	409
706	984	408
707	985	406
708	987	405
709	988	403
710	989	402
711	990	400
712	991	399
713	992	397
714	993	396
715	995	394
716	996	393
717	997	391
718	998	390
719	999	388
720	1000	387
721	1001	385
722	1003	384
723	1004	382
724	1005	381
725	1006	379
726	1007	378
727	1008	376
728	1010	375
729	1011	373
730	1012	372
731	1013	371
732	1014	369
733	1015	368
734	1016	366
735	1017	365
736	1019	363
737	1021	362
738	1023	361
739	1025	360
740	1026	358
741	1028	357
742	1029	356
743	1030	354
744	1031	353
745	1033	351
746	1034	350
747	1035	348
748	1036	347
749	1037	345
750	1038	344
751	1040	343
752	1041	341
753	1042	340
754	1043	338
755	1044	337
756	1045	335
757	1047	334
758	1048	332
759	1049	331
760	1050	329
761	1051	328
762	1052	326
763	1053	325
764	1054	323
765	1055	322
766	1056	321
767	1058	319
768	1059	318
769	1060	316
770	1061	315
771	1063	313
772	1064	312
773	1065	311
774	1066	309
775	1068	308
776	1069	306
777	1070	305
778	1071	303
779	1072	302
780	1073	301
781	1074	299
782	1076	298
783	1077	296
784	1078	295
785	1079	293
786	1080	292
787	1081	290
788	1082	289
789	1083	288
790	1084	286
791	1085	285
792	1086	283
793	1088	282
794	1089	280
795	1090	279
796	1091	278
797	1092	276
798	1093	275
799	1095	273
800	1096	272
801	1097	270
802	1098	269
803	1099	268
804	1100	266
805	1101	265
806	1102	263
807	1104	262
808	1105	260
809	1106	259
810	1107	258
811	1108	256
812	1109	255
813	1110	253
814	1111	252
815	1112	250
816	1114	249
817	1115	248
818	1116	246
819	1117	245
820	1118	243
821	1119	242
822	1120	241
823	1121	239
824	1123	238
825	1124	236
826	1125	235
827	1126	233
828	1127	232
829	1128	231
830	1129	229
831	1131	228
832	1132	226
833	1133	225
834	1134	224
